Tên doanh nghiệp,Mã cổ phiếu
Tổng CTCP bảo hiểm Ngân hàng Nông nghiệp,ABI
Tổng CTCP bảo hiểm Hàng Không,AIC
Tổng CTCP bảo hiểm Ngân hàng Đầu tư và phát triển Việt Nam,BIC
Tổng CTCP bảo hiểm Bảo Long,BLI
Tổng CTCP Bảo Minh,BMI
Tập đoàn Bảo Việt,BVH
Tổng CTCP bảo hiểm Quân Đội,MIG
Tổng CTCP bảo hiểm Petrolimex,PGI
Tổng CTCP Tái bảo hiểm Hà Nội,PRE
Tổng CTCP bảo hiểm Bưu Điện,PTI
CTCP PVI,PVI
Tổng CTCP tái bảo hiểm Quốc gia Việt Nam,VNR
