Tên doanh nghiệp,Mã cổ phiếu
CTCP Truyền thông VMG,ABC
Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,EMS
CTCP Dịch vụ kỹ thuật Mobifone,MFS
"CTCP Công nghệ thông tin, viễn thông và tự động hóa dầu khí",PAI
CTCP tin học viễn thông Petrolimex,PIA
CTCP Viễn thông FPT,POX
CTCP dịch vụ viễn thông và in Bưu Điện,PTP
CTCP Công nghệ và truyền thông Việt Nam,TTN
Tổng CTCP đầu tư Quốc tế Viettel,VGI
